requisicaoN;tempoHTTP
1;0.280890
2;0.248536
3;0.260650
4;0.248665
5;0.237013
6;0.236247
7;0.242652
8;0.240942
9;0.239504
10;0.239541
11;0.242526
12;0.240419
13;0.240096
14;0.245623
15;0.240781
16;0.260187
17;0.290124
18;0.251352
19;0.246442
20;0.241531
21;0.262556
22;0.240056
23;0.249691
24;0.240661
25;0.241346
26;0.242477
27;0.253502
28;0.272918
29;0.252408
30;0.241950
31;0.248042
32;0.251156
33;0.244707
34;0.240842
35;0.274037
36;0.239442
37;0.253294
38;0.257262
39;0.237167
40;0.248752
41;0.240819
42;0.244029
43;0.251051
44;0.280631
45;0.242597
46;0.241020
47;0.237559
48;0.256616
49;0.241138
50;0.239660
51;0.256476
52;0.237276
53;0.251820
54;0.254053
55;0.258950
56;0.267711
57;0.243928
58;0.243387
59;0.248160
60;0.268694
61;0.243534
62;0.253742
63;0.255143
64;0.248825
65;0.247134
66;0.245883
67;0.263352
68;0.247630
69;0.242705
70;0.257108
71;0.242211
72;0.247518
73;0.241980
74;0.242269
75;0.245054
76;0.244546
77;0.238858
78;0.252169
79;0.239473
80;0.243143
81;0.268286
82;0.242549
83;0.240834
84;0.254659
85;0.254716
86;0.247321
87;0.248503
88;0.246105
89;0.259356
90;0.238577
91;0.240604
92;0.243692
93;0.242724
94;0.248709
95;0.243616
96;0.238833
97;0.245856
98;0.243369
99;0.239958
100;0.240405
101;0.243494
102;0.253544
103;0.253382
104;0.264166
105;0.248266
106;0.241245
107;0.248404
108;0.254197
109;0.258385
110;0.251420
111;0.245296
112;0.250126
113;0.242070
114;0.234381
115;0.234559
116;0.252386
117;0.251817
118;0.252822
119;0.267476
120;0.267165
121;0.241185
122;0.244033
123;0.245186
124;0.243496
125;0.248910
126;0.238743
127;0.254308
128;0.243392
129;0.237801
130;0.247406
131;0.241159
132;0.261792
133;0.245555
134;0.239250
135;0.249460
136;0.244461
137;0.250232
138;0.239312
139;0.266432
140;0.240465
141;0.247961
142;0.245652
143;0.239445
144;0.258062
145;0.242222
146;0.247556
147;0.247998
148;0.243344
149;0.244494
150;0.263829
