requisicaoN;tempoHTTP
1;0.274206
2;0.274433
3;0.277201
4;0.371876
5;0.291407
6;0.283599
7;0.264316
8;0.283742
9;0.285892
10;0.282941
11;0.259198
12;0.261500
13;0.272191
14;0.265593
15;0.258550
16;0.282091
17;0.267680
18;0.280716
19;0.265855
20;0.268506
21;0.265323
22;0.249805
23;0.275045
24;0.270251
25;0.354530
26;0.265710
27;0.268887
28;0.277378
29;0.267164
30;0.296833
31;0.253212
32;0.271767
33;0.260505
34;0.263809
35;0.252375
36;0.308390
37;0.268721
38;0.265557
39;0.254180
40;0.279782
41;0.247527
42;0.277589
43;0.263644
44;0.360962
45;0.268536
46;0.254033
47;0.300999
48;0.356295
49;0.250373
50;0.277289
51;0.259996
52;0.270838
53;0.267172
54;0.269611
55;0.271938
56;0.350351
57;0.269639
58;0.246322
59;0.250731
60;0.259984
61;0.306001
62;0.296514
63;0.271887
64;0.252922
65;0.283235
66;0.264005
67;0.303570
68;0.271212
69;0.255976
70;0.257512
71;0.282581
72;0.367265
73;0.248848
74;0.259146
75;0.277648
76;0.271540
77;0.298408
78;0.248367
79;0.256630
80;0.276444
81;0.281418
82;0.269969
83;0.262102
84;0.262611
85;0.285452
86;0.280596
87;0.273323
88;0.283087
89;0.283212
90;0.263621
91;0.248882
92;0.274617
93;0.296144
94;0.270278
95;0.266707
96;0.278447
97;0.283226
98;0.273860
99;0.285138
100;0.268889
101;0.257673
102;0.254470
103;0.355701
104;0.274173
105;0.262459
106;0.278976
107;0.261076
108;0.295437
109;0.272604
110;0.277753
111;0.265739
112;0.279285
113;0.275061
114;0.273630
115;0.251487
116;0.300319
117;0.268931
118;0.269085
119;0.252926
120;0.268411
121;0.260754
122;0.269905
123;0.283091
124;0.257544
125;0.279589
126;0.257025
127;0.282873
128;0.263341
129;0.296411
130;0.280605
131;0.291879
132;0.286083
133;0.294269
134;0.284750
135;0.283411
136;0.352010
137;0.283203
138;0.280561
139;0.253504
140;0.305487
141;0.344310
142;0.259427
143;0.272435
144;0.284754
145;0.270482
146;0.255211
147;0.257895
148;0.262543
149;0.306251
150;0.266793
151;0.266142
152;0.274710
153;0.273401
154;0.277459
155;0.255895
156;0.298185
157;0.274494
158;0.274437
159;0.328608
160;0.272968
161;0.269714
162;0.269109
163;0.253854
164;0.262231
165;0.278046
166;0.278581
