requisicaoN;tempoHTTP
1;0.792089
2;0.272580
3;0.269833
4;0.256271
5;0.283185
6;0.277690
7;0.291622
8;0.349575
9;0.269078
10;0.292182
11;0.256116
12;0.245748
13;0.286495
14;0.254713
15;0.285937
16;0.256984
17;0.271008
18;0.327345
19;0.281432
20;0.284767
21;0.271812
22;0.275554
23;0.271281
24;0.370361
25;0.251936
26;0.271040
27;0.317782
28;0.325305
29;0.276928
30;0.267073
31;0.256637
32;0.267946
33;0.329398
34;0.368244
35;0.269215
36;0.355468
37;0.270892
38;0.262568
39;0.255473
40;0.253390
41;0.273854
42;0.286003
43;0.282047
44;0.255057
45;0.264425
46;0.266153
47;0.276524
48;0.262752
49;0.278087
50;0.260663
51;0.280319
52;0.265284
53;0.269561
54;0.278901
55;0.282441
56;0.267672
57;0.256992
58;0.281409
59;0.271867
60;0.282806
61;0.278555
62;0.271708
63;0.264283
64;0.265180
65;0.274134
66;0.274611
67;0.355078
68;0.269760
69;0.265083
70;0.295470
71;0.266017
72;0.285047
73;0.364389
74;0.295606
75;0.263604
76;0.268367
77;0.291436
78;0.308660
79;0.257485
80;0.253656
81;0.265338
82;0.281288
83;0.269948
84;0.262650
85;0.264288
86;0.264083
87;0.255721
88;0.248839
89;0.253327
90;0.256803
91;0.258993
92;0.251925
93;0.253263
94;0.266574
95;0.245722
96;0.272229
97;0.278781
98;0.249481
99;0.264914
100;0.275528
101;0.263073
102;0.271492
103;0.266420
104;0.286183
105;0.265457
106;0.259129
107;0.257396
108;0.248279
109;0.262123
110;0.269586
111;0.254462
112;0.253781
113;0.263492
114;0.253094
115;0.254223
116;0.279421
117;0.272834
118;0.281428
119;0.258686
120;0.272887
121;0.261634
122;0.249694
123;0.259453
124;0.270456
125;0.253374
126;0.266651
127;0.275667
128;0.253711
129;0.269709
130;0.270336
131;0.255712
132;0.257239
133;0.270640
134;0.246864
135;0.277016
136;0.274438
137;0.262850
138;0.263288
139;0.279340
140;0.265878
141;0.271568
142;0.358668
143;0.327090
144;0.290837
145;0.263094
146;0.256873
147;0.250866
148;0.257538
149;0.263223
150;0.252590
151;0.248565
152;0.256565
153;0.274382
154;0.270615
155;0.273692
156;0.283697
157;0.259689
158;0.266768
159;0.248182
160;0.253775
161;0.258562
162;0.254052
163;0.343504
164;0.288431
165;0.267798
166;0.252927
167;0.274562
168;0.268003
169;0.253060
170;0.258263
171;0.280122
172;0.284156
173;0.266592
174;0.270959
175;0.264666
176;0.260093
177;0.254003
178;0.253456
179;0.264220
180;0.269659
181;0.250308
182;0.277829
183;0.256366
184;0.296493
185;0.277285
186;0.259813
187;0.251973
188;0.275813
189;0.273270
190;0.277493
191;0.292432
192;0.278077
193;0.263959
194;0.373853
195;0.261632
196;0.356188
197;0.256489
198;0.285348
199;0.258914
200;0.267134
201;0.355874
202;0.252858
203;0.274276
204;0.280004
205;0.270915
206;0.251990
207;0.276453
208;0.253015
209;0.278532
210;0.276257
211;0.264864
212;0.270760
213;0.268947
214;0.280098
215;0.280908
216;0.264134
217;0.251329
218;0.281879
219;0.276597
220;0.268300
221;0.251311
222;0.274115
223;0.273852
224;0.274520
225;0.320641
226;0.253234
227;0.284512
228;0.249553
229;0.261914
230;0.260729
231;0.267406
232;0.307978
233;0.262178
234;0.277562
235;0.365469
236;0.284078
237;0.259108
238;0.256779
239;0.264041
240;0.264749
241;0.254849
242;0.272770
243;0.360486
