requisicaoN;tempoHTTP
1;0.273861
2;0.265391
3;0.285143
4;0.252826
5;0.264405
6;0.281679
7;0.281707
8;0.326012
9;0.283691
10;0.285535
11;0.358065
12;0.263049
13;0.273271
14;0.254962
15;0.278538
16;0.260234
17;0.267479
18;0.276236
19;0.289300
20;0.304914
21;0.298758
22;0.268484
23;0.294645
24;0.296262
25;0.274982
26;0.255057
27;0.284122
28;0.256192
29;0.257445
30;0.272830
31;0.275093
32;0.249213
33;0.274438
34;0.399982
35;0.262317
36;0.354210
37;0.340629
38;0.250816
39;0.254576
40;0.254584
41;0.259329
42;0.274015
43;0.281555
44;0.254253
45;0.269729
46;0.246512
47;0.281402
48;0.275778
49;0.274776
50;0.260546
51;0.269316
52;0.255130
53;0.259901
54;0.277079
55;0.296403
56;0.285242
57;0.858787
58;0.275898
59;0.267741
60;1.299.339
61;0.250585
62;0.283617
63;0.251076
64;0.271592
65;0.250967
66;0.252727
67;0.266968
68;0.259151
69;0.278123
70;0.266188
71;0.247838
72;0.248375
73;0.268389
74;0.282360
75;0.257004
76;0.266460
77;0.271609
78;0.282015
79;0.266384
80;0.261748
81;0.274700
82;0.255942
83;0.304315
84;0.274158
85;0.268449
86;0.264414
87;0.253293
88;0.298732
89;0.259232
90;0.271065
91;0.253197
92;0.248471
93;0.260268
94;0.285240
95;0.274754
96;0.254590
97;0.274712
98;0.278789
99;0.245702
100;0.260723
101;0.282982
102;0.246965
103;0.260533
104;0.267766
105;1.348.226
106;0.267916
107;0.260434
108;0.273213
109;0.264362
110;0.263855
111;0.345572
112;0.261529
113;0.261566
114;0.253629
115;0.267239
116;0.256585
117;0.269384
118;0.266536
119;0.790306
120;0.257598
121;0.253014
122;0.334305
123;0.290265
124;0.279237
125;0.256195
126;0.278131
127;0.271144
128;0.347534
129;0.250146
130;0.347185
131;0.300366
132;0.259383
133;0.270126
134;0.252072
135;0.248666
136;0.253920
137;0.254138
138;0.259457
139;0.257059
140;0.275597
141;0.251657
142;0.251465
143;0.435586
144;0.261827
145;0.261098
146;0.252019
147;0.340088
148;0.253728
149;0.264274
150;0.277596
151;0.292490
152;0.268647
153;0.268274
154;0.345802
155;0.251801
156;0.277913
157;0.308939
158;0.344368
159;0.267666
160;0.288089
161;0.286754
162;0.251928
163;0.309283
164;0.277685
165;0.255362
166;0.308689
167;0.261234
168;0.435128
169;0.253014
170;0.275943
171;0.394544
172;0.349940
173;0.264802
174;0.318388
175;0.293546
176;0.295333
177;0.264901
178;0.280442
179;0.287577
180;0.278719
181;0.350977
182;0.269453
183;0.284494
184;0.278997
185;0.306482
186;0.281631
187;0.281777
188;0.276433
189;0.275355
190;0.312030
191;0.270747
192;0.277483
193;0.271308
194;0.279087
195;0.274396
196;0.263563
197;0.259194
198;0.260715
199;0.355501
200;0.255924
201;0.274388
202;0.399126
203;1.364.370
204;0.255709
205;0.284121
206;0.265881
207;0.313159
208;0.269279
209;0.261420
210;0.267656
211;0.253369
212;0.264817
213;0.267395
214;0.279173
215;0.271423
216;0.273056
217;0.271713
218;0.250829
219;0.317144
220;0.256818
221;0.275015
222;0.255786
223;0.258108
224;0.256419
225;0.268372
226;0.289488
227;0.270948
228;0.311095
229;0.266108
230;0.258964
231;0.250183
232;0.259074
233;0.362498
234;0.281423
235;0.276354
236;0.254369
237;0.249341
238;0.268386
239;0.268980
240;0.271310
241;0.255150
242;0.254471
243;0.274403
244;0.293091
245;0.266285
246;0.362728
247;0.384091
248;0.326615
249;0.285346
250;0.256798
251;0.273623
252;0.253185
253;0.270187
254;0.276360
255;0.256160
256;0.287587
257;0.270547
258;0.350640
259;0.268162
260;0.282269
261;0.272956
262;0.262500
263;0.246363
264;0.271947
265;0.267214
266;0.254419
267;0.272519
268;0.267338
269;0.271506
270;0.262751
271;0.358853
272;0.274741
273;0.270206
274;0.277177
275;0.273967
276;0.278129
277;0.275102
278;0.259488
279;0.255802
280;0.273051
281;0.347555
282;0.285853
283;0.261661
284;0.264239
285;0.345443
286;0.258319
287;0.276833
288;0.273703
289;0.284758
290;0.265088
291;0.248456
292;0.295334
293;0.280926
294;0.260937
295;0.252540
296;0.253651
297;0.251860
298;0.275995
299;0.256793
300;0.250159
301;0.266510
302;0.273297
303;0.251030
304;0.268978
305;0.262208
306;0.270485
307;0.258576
308;0.278205
309;0.256695
310;0.264491
311;0.278098
312;0.320832
313;0.280331
314;0.277231
315;0.270989
316;0.270910
317;0.741449
318;0.259737
319;0.339108
320;0.267482
321;0.269869
322;0.252586
323;0.259282
324;0.272905
325;0.262101
326;0.251657
327;0.266404
328;0.270089
329;0.266872
330;0.256913
331;0.279661
332;0.284816
333;0.271515
334;0.276660
335;0.269696
336;0.278654
337;0.254990
338;0.283998
339;0.304867
340;0.281078
341;0.300264
342;0.450896
343;0.301853
344;0.268557
345;0.261420
346;0.292671
347;0.298027
348;0.266826
349;0.261440
350;0.797426
351;0.597704
352;0.362061
353;0.304407
354;0.274102
355;0.258862
356;0.275179
357;0.255348
