requisicaoN;tempoHTTP
1;0.272826
2;0.246154
3;0.262910
4;0.309064
5;0.247473
6;0.279038
7;0.266855
8;0.277328
9;0.258834
10;0.271421
11;0.276709
12;0.273066
13;0.255886
14;0.270421
15;0.254320
16;0.263902
17;0.251296
18;0.246675
19;0.306140
20;0.258037
21;0.295904
22;0.366143
23;0.260766
24;0.258343
25;0.267910
26;0.263205
27;0.254324
28;0.253791
29;0.293243
30;0.266110
31;0.268082
32;0.266830
33;0.353153
34;0.255725
35;0.267062
36;0.280202
37;0.272596
38;0.252144
39;0.272553
40;0.260078
41;0.255821
42;0.260936
43;0.266547
44;0.251455
45;0.252231
46;0.270233
47;1.274.558
48;0.269780
49;0.275488
50;0.267262
51;0.247558
52;0.284098
53;0.254055
54;0.302554
55;0.258661
56;0.269392
57;0.257098
58;0.268549
59;0.274936
60;0.282895
61;0.305993
62;0.272445
63;0.251202
64;0.268411
65;0.297967
66;0.265806
67;0.304598
68;0.264868
69;0.264933
70;0.251904
71;0.269246
72;0.271077
73;0.253766
74;0.277953
75;0.267544
76;0.349465
77;0.825548
78;0.278110
79;0.248022
80;0.267629
81;0.269007
82;0.257081
83;0.272469
84;0.249643
85;0.272621
86;0.266666
87;0.255522
88;0.262413
89;0.249055
90;0.247539
91;0.250199
92;0.270370
93;0.256966
94;0.273584
95;0.251802
96;0.270389
97;0.265739
98;0.246134
99;0.268584
100;0.259964
101;0.343291
102;0.274585
103;0.269325
104;0.268565
105;0.251886
106;0.269524
107;0.246618
108;0.263643
109;0.250984
110;0.273965
111;0.269081
112;0.263858
113;0.253711
114;0.296873
115;0.325701
116;0.278893
117;0.274905
118;0.260868
119;0.255275
120;0.255982
121;0.268556
122;0.275107
123;0.268177
124;0.281738
125;0.267321
126;0.261962
127;0.277992
128;0.482626
129;0.269144
130;0.278360
131;0.285197
132;0.272970
133;0.263387
134;0.275591
135;0.255692
136;0.264803
137;0.256580
138;0.247463
139;0.348354
140;0.258487
141;0.272310
142;0.277102
143;0.279263
144;0.258602
145;0.275625
146;0.350740
147;0.268723
148;0.271943
149;0.286998
150;0.249623
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
